AccusedMasterID,CaseMasterID,CrimeNo,AccusedName,AgeYear,GenderID,CrimeRegisteredDate,prior_case_count,prior_cases_last_90d,prior_cases_last_180d,days_since_prev_case,current_case_heinous,prior_heinous_count,prior_heinous_ratio,gravity_escalation_flag,mean_inter_case_days,cadence_acceleration,distinct_crime_heads,repeated_offence_type,mo_consistency_score,recurring_location_count,target_label,is_evaluable
15565,10697,100160559202200004,Abdul Achari,29.0,1.0,2022-04-02,21,6,9,4.0,1,5,0.2381,1,21.5,0.186,10,1,0.0,21,0,1
23296,16100,100050340202200010,Abdul Achari,,1.0,2022-06-07,22,2,8,66.0,1,6,0.2727,1,20.67,3.1935,10,1,0.0,22,0,1
12946,8810,100090436202200001,Abdul Achari,36.0,1.0,2022-08-25,23,1,4,79.0,0,7,0.3043,0,22.73,3.476,10,1,0.0,23,0,1
26179,18101,100050335202200011,Abdul Achari,18.0,1.0,2022-10-08,24,1,2,44.0,0,7,0.2917,0,25.17,1.7478,10,0,0.0,24,0,1
39070,27280,100350730202300017,Abdul Achari,35.0,1.0,2023-01-30,25,0,2,114.0,0,7,0.28,0,25.96,4.3917,11,1,0.0,25,0,1
28966,20069,100060372202300004,Abdul Achari,20.0,1.0,2023-03-07,26,1,2,36.0,0,7,0.2692,0,29.48,1.2212,11,1,0.0,26,0,1
33318,23151,400150553202300001,Abdul Achari,40.0,1.0,2023-04-23,27,2,2,47.0,1,7,0.2593,1,29.73,1.5809,11,1,0.0,27,1,1
38835,27135,100110483202300007,Abdul Achari,42.0,,2023-04-28,28,3,3,5.0,0,8,0.2857,0,30.37,0.1646,11,1,0.0,28,1,1
32749,22721,400080419202300001,Abdul Achari,27.0,1.0,2023-05-01,29,3,4,3.0,0,8,0.2759,0,29.46,0.1018,11,1,0.0,29,1,1
33807,23514,100010202202300007,Abdul Achari,33.0,1.0,2023-05-06,30,4,5,5.0,1,8,0.2667,1,28.55,0.1751,11,1,0.0,30,1,1
39704,27762,400010057202300001,Abdul Achari,20.0,1.0,2023-05-22,31,5,6,16.0,0,9,0.2903,0,27.77,0.5762,11,1,0.0,31,1,1
37030,25828,400010160202300003,Abdul Achari,20.0,1.0,2023-05-26,32,6,7,4.0,0,9,0.2812,0,27.39,0.1461,11,1,0.0,32,0,1
29061,20126,100210619202300007,Abdul Achari,,1.0,2023-08-02,33,3,7,68.0,1,9,0.2727,1,26.66,2.551,11,1,0.0,33,1,1
34814,24202,100280681202300008,Abdul Achari,34.0,1.0,2023-09-01,34,1,8,30.0,0,10,0.2941,0,27.91,1.0749,11,1,1.0,34,1,1
30682,21280,100010057202300003,Abdul Achari,22.0,1.0,2023-09-19,35,2,8,18.0,0,10,0.2857,0,27.97,0.6435,11,1,0.0,35,1,1
35118,24419,100010091202300011,Abdul Achari,30.0,1.0,2023-09-25,36,3,9,6.0,0,10,0.2778,0,27.69,0.2167,11,1,0.0,35,0,1
34779,24170,100290692202300008,Abdul Achari,,,2023-11-23,37,3,4,59.0,0,10,0.2703,0,27.08,2.1785,11,1,0.0,36,0,1
35168,24467,100020231202300008,Abdul Achari,16.0,,2023-12-29,38,1,5,36.0,0,10,0.2632,0,27.95,1.2882,11,1,1.0,37,1,1
34231,23798,100290689202300011,Abdul Achari,40.0,,2023-12-31,39,2,6,2.0,0,10,0.2564,0,28.16,0.071,11,1,0.0,38,1,1
49033,34567,100310710202400006,Abdul Achari,31.0,1.0,2024-01-18,40,3,7,18.0,0,10,0.25,0,27.49,0.6549,11,1,1.0,39,1,1
46619,32680,100290695202400003,Abdul Achari,41.0,1.0,2024-01-21,41,4,8,3.0,0,10,0.2439,0,27.25,0.1101,11,1,0.0,40,0,1
42601,29753,100010088202400003,Abdul Achari,36.0,,2024-02-23,42,4,8,33.0,1,10,0.2381,1,26.66,1.2379,11,1,0.0,41,1,1
46274,32422,100010132202400005,Abdul Achari,28.0,1.0,2024-03-24,43,5,6,30.0,0,11,0.2558,0,26.81,1.119,11,1,0.0,42,1,1
41625,29121,100040295202400004,Abdul Achari,23.0,1.0,2024-03-28,44,6,7,4.0,0,11,0.25,0,26.88,0.1488,11,1,1.0,42,1,1
45926,32153,100010090202400009,Abdul Achari,26.0,1.0,2024-03-30,45,6,8,2.0,0,11,0.2444,0,26.36,0.0759,11,1,0.0,43,1,1
46249,32410,100120503202400010,Abdul Achari,22.0,,2024-03-30,46,7,9,0.0,0,11,0.2391,0,25.82,0.0,11,1,0.0,44,1,1
45908,32145,100310705202400003,Abdul Achari,31.0,1.0,2024-04-03,47,7,10,4.0,0,11,0.234,0,25.28,0.1582,11,1,1.0,45,1,1
43503,30365,100110473202400002,Abdul Achari,31.0,1.0,2024-04-08,48,8,11,5.0,0,11,0.2292,0,24.83,0.2014,11,1,0.0,46,0,1
48465,34095,400010080202400001,Abdul Achari,20.0,1.0,2024-06-05,49,6,11,58.0,0,11,0.2245,0,24.42,2.3754,11,1,0.0,47,0,1
42901,29973,100150546202400005,Abdul Achari,,1.0,2024-07-25,50,1,8,50.0,0,11,0.22,0,25.1,1.9919,11,1,0.0,48,1,1
42030,29384,100050325202400004,Abdul Achari,22.0,1.0,2024-07-29,51,2,9,4.0,0,11,0.2157,0,25.6,0.1562,11,1,0.0,49,1,1
43493,30364,100050331202400006,Abdul Achari,27.0,1.0,2024-08-13,52,3,10,15.0,1,11,0.2115,1,25.18,0.5958,11,1,0.0,49,1,1
41895,29314,100010162202400002,Abdul Achari,33.0,1.0,2024-08-15,53,4,11,2.0,1,12,0.2264,1,24.98,0.0801,11,1,0.0,50,0,1
51929,36696,100310705202400008,Abdul Achari,31.0,1.0,2024-09-22,54,4,10,38.0,0,13,0.2407,0,24.55,1.548,11,1,0.0,51,1,1
49802,35127,100060373202400012,Abdul Achari,21.0,1.0,2024-09-30,55,5,8,8.0,0,13,0.2364,0,24.8,0.3226,11,1,0.0,51,1,1
48469,34101,100060379202400007,Abdul Achari,24.0,1.0,2024-10-01,56,6,8,1.0,0,13,0.2321,0,24.49,0.0408,11,1,0.0,52,1,1
51113,36110,100110489202400008,Abdul Achari,,1.0,2024-10-17,57,7,8,16.0,0,13,0.2281,0,24.07,0.6647,11,1,0.0,53,0,1
47738,33516,100010190202400009,Abdul Achari,28.0,1.0,2024-11-19,58,4,9,33.0,0,13,0.2241,0,23.93,1.379,11,0,0.0,54,1,1
52375,37028,100180589202400009,Abdul Achari,22.0,1.0,2024-11-26,59,5,10,7.0,0,13,0.2203,0,24.09,0.2906,12,1,1.0,55,0,1
57081,40505,100020218202500002,Abdul Achari,21.0,1.0,2025-03-04,60,0,6,98.0,0,13,0.2167,0,23.8,4.1182,12,1,0.0,55,1,1
65756,46949,400010199202500002,Abdul Achari,45.0,,2025-03-04,61,1,7,0.0,0,13,0.2131,0,25.03,0.0,12,1,1.0,56,1,1
65060,46418,100310709202500007,Abdul Achari,32.0,1.0,2025-03-10,62,2,8,6.0,1,13,0.2097,1,24.64,0.2435,12,1,1.0,57,1,1
65061,46418,100310709202500007,Abdul Achari,32.0,1.0,2025-03-10,63,3,9,0.0,1,14,0.2222,1,24.34,0.0,12,1,1.0,58,1,1
59564,42348,100240651202500006,Abdul Achari,19.0,,2025-03-31,64,4,7,21.0,0,15,0.2344,0,23.97,0.8762,12,1,0.0,58,1,1
58252,41359,100010161202500005,Abdul Achari,50.0,1.0,2025-04-12,65,5,8,12.0,0,15,0.2308,0,23.92,0.5016,12,1,0.0,59,1,1
55515,39393,100010111202500002,Abdul Achari,28.0,1.0,2025-04-21,66,6,8,9.0,0,15,0.2273,0,23.74,0.3791,12,1,1.0,60,1,1
65251,46563,100010070202500015,Abdul Achari,23.0,1.0,2025-04-30,67,7,9,9.0,0,15,0.2239,0,23.52,0.3827,12,1,0.0,61,1,1
62311,44430,100030283202500009,Abdul Achari,17.0,1.0,2025-05-10,68,8,10,10.0,0,15,0.2206,0,23.3,0.4292,12,1,1.0,62,0,1
63459,45272,100050335202500006,Abdul Achari,31.0,1.0,2025-06-19,69,5,9,40.0,0,15,0.2174,0,23.1,1.7314,12,1,1.0,63,0,1
67625,48346,100010119202500018,Abdul Achari,25.0,1.0,2025-07-26,70,3,10,37.0,0,15,0.2143,0,23.35,1.5847,12,1,0.0,63,1,1
64188,45796,100050321202500012,Abdul Achari,,1.0,2025-08-17,71,2,11,22.0,0,15,0.2113,0,23.54,0.9345,12,1,0.0,64,1,1
57951,41124,100150552202500003,Abdul Achari,32.0,1.0,2025-08-21,72,3,12,4.0,0,15,0.2083,0,23.52,0.1701,12,1,0.0,65,1,1
58754,41740,100040306202500003,Abdul Achari,,1.0,2025-08-28,73,4,13,7.0,0,15,0.2055,0,23.25,0.3011,12,1,0.0,66,0,1
61725,43972,100310707202500008,Abdul Achari,32.0,1.0,2025-10-29,74,3,6,62.0,0,15,0.2027,0,23.03,2.6924,12,1,0.0,67,1,1
69551,49783,100070382202500012,Abdul Achari,20.0,1.0,2025-11-13,75,4,6,15.0,1,15,0.2,1,23.55,0.6368,12,1,1.0,67,1,1
60577,43101,400310707202500001,Abdul Achari,32.0,1.0,2025-11-23,76,3,7,10.0,0,16,0.2105,0,23.44,0.4266,12,1,0.0,68,1,1
66915,47799,100160557202500014,Abdul Achari,38.0,1.0,2025-11-27,77,3,8,4.0,0,16,0.2078,0,23.26,0.1719,12,1,1.0,68,1,1
67136,47972,100080425202500019,Abdul Achari,,,2025-12-11,78,4,9,14.0,0,16,0.2051,0,23.01,0.6084,12,1,0.0,69,-1,0
61590,43837,100030276202500006,Abdul Achari,25.0,1.0,2025-12-14,79,5,10,3.0,1,16,0.2025,1,22.9,0.131,12,1,0.0,70,-1,0
12733,8627,100080405202100009,Abdul Angadi,25.0,1.0,2021-06-04,0,0,0,365.0,0,0,0.0,0,365.0,1.0,0,0,0.0,0,0,1
877,646,100010082202100002,Abdul Angadi,18.0,1.0,2021-07-25,1,1,1,51.0,0,0,0.0,0,51.0,1.0,1,0,0.0,1,0,1
8589,5738,100080426202100003,Abdul Angadi,25.0,1.0,2021-09-06,2,1,2,43.0,1,0,0.0,1,51.0,0.8431,2,1,0.0,2,1,1
2984,2039,100300703202100002,Abdul Angadi,29.0,1.0,2021-09-19,3,2,3,13.0,0,1,0.3333,0,47.0,0.2766,2,0,0.0,3,1,1
3412,2293,400190594202100001,Abdul Angadi,20.0,1.0,2021-10-03,4,3,4,14.0,1,1,0.25,1,35.67,0.3925,3,1,0.0,4,1,1
1034,762,100210625202100002,Abdul Angadi,,1.0,2021-10-06,5,4,5,3.0,0,2,0.4,0,30.25,0.0992,3,0,0.0,5,1,1
1987,1395,100010095202100005,Abdul Angadi,19.0,1.0,2021-10-14,6,5,6,8.0,0,2,0.3333,0,24.8,0.3226,4,0,0.0,6,1,1
7604,5121,100080409202100004,Abdul Angadi,25.0,1.0,2021-10-15,7,6,7,1.0,0,2,0.2857,0,22.0,0.0455,5,1,0.0,7,1,1
3011,2059,100080407202100006,Abdul Angadi,25.0,1.0,2021-10-17,8,7,8,2.0,0,2,0.25,0,19.0,0.1053,5,1,0.0,8,1,1
2522,1743,100010061202100002,Abdul Angadi,27.0,1.0,2021-10-27,9,7,9,10.0,0,2,0.2222,0,16.88,0.5926,5,0,0.0,9,1,1
8815,5928,100080423202100008,Abdul Angadi,25.0,1.0,2021-11-01,10,8,10,5.0,1,2,0.2,1,16.11,0.3103,6,1,0.0,10,1,1
5717,3918,100050342202100004,Abdul Angadi,18.0,1.0,2021-11-06,11,9,11,5.0,0,3,0.2727,0,15.0,0.3333,6,1,0.0,11,1,1
9511,6384,100080411202100006,Abdul Angadi,25.0,1.0,2021-11-07,12,10,12,1.0,0,3,0.25,0,14.09,0.071,6,1,0.0,12,1,1
9512,6384,100080411202100006,Abdul Angadi,25.0,1.0,2021-11-07,13,11,13,0.0,0,3,0.2308,0,13.0,0.0,6,1,0.0,13,1,1
6371,4339,100010204202100007,Abdul Angadi,,1.0,2021-12-06,14,11,13,29.0,0,3,0.2143,0,12.08,2.4013,6,1,0.0,13,1,1
2785,1924,100080425202100004,Abdul Angadi,25.0,1.0,2021-12-17,15,12,14,11.0,1,3,0.2,1,13.29,0.828,6,1,0.0,14,1,1
14411,9858,100230641202200004,Abdul Angadi,23.0,1.0,2022-01-07,16,10,15,21.0,0,4,0.25,0,13.13,1.599,6,1,0.0,15,0,1
21693,14945,100020226202200010,Abdul Angadi,,1.0,2022-02-15,17,3,15,39.0,0,4,0.2353,0,13.62,2.8624,6,0,0.0,16,1,1
13234,8997,100090428202200001,Abdul Angadi,15.0,1.0,2022-02-20,18,4,16,5.0,0,4,0.2222,0,15.12,0.3307,7,0,0.0,17,1,1
22423,15485,100010048202200009,Abdul Angadi,29.0,1.0,2022-03-02,19,5,17,10.0,0,4,0.2105,0,14.56,0.687,8,1,0.0,18,0,1
25319,17516,100030271202200010,Abdul Angadi,20.0,1.0,2022-04-11,20,3,14,40.0,0,4,0.2,0,14.32,2.7941,8,1,0.0,19,1,1
14674,10042,400070395202200001,Abdul Angadi,33.0,1.0,2022-05-03,21,4,10,22.0,1,4,0.1905,1,15.6,1.4103,8,1,0.0,20,0,1
14325,9799,100010076202200003,Abdul Angadi,,1.0,2022-06-05,22,2,7,33.0,0,5,0.2273,0,15.9,2.0749,8,0,0.0,21,1,1
19343,13287,800180585202200001,Abdul Angadi,36.0,1.0,2022-06-09,23,3,8,4.0,0,5,0.2174,0,16.68,0.2398,9,1,0.0,22,1,1
16292,11176,100110484202200002,Abdul Angadi,30.0,1.0,2022-06-15,24,4,9,6.0,0,5,0.2083,0,16.13,0.372,9,1,0.0,23,1,1
22326,15422,100100460202200012,Abdul Angadi,15.0,1.0,2022-06-22,25,5,9,7.0,0,5,0.2,0,15.71,0.4456,9,1,0.0,24,0,1
26125,18066,100200607202200019,Abdul Angadi,,1.0,2022-08-01,26,5,9,40.0,0,5,0.1923,0,15.36,2.6042,9,1,0.0,25,1,1
16408,11246,100050323202200005,Abdul Angadi,38.0,1.0,2022-08-04,27,5,10,3.0,0,5,0.1852,0,16.31,0.184,9,1,0.0,26,0,1
20423,14050,100290694202200006,Abdul Angadi,30.0,,2022-10-06,28,2,8,63.0,0,5,0.1786,0,15.81,3.9836,9,1,0.0,27,1,1
16114,11070,100050349202200004,Abdul Angadi,50.0,1.0,2022-10-09,29,3,8,3.0,0,5,0.1724,0,17.5,0.1714,9,1,0.0,28,1,1
25278,17483,100300696202200008,Abdul Angadi,29.0,1.0,2022-11-08,30,2,8,30.0,0,5,0.1667,0,17.0,1.7647,9,1,0.0,29,0,1
15399,10575,100190591202200005,Abdul Angadi,19.0,1.0,2022-12-10,31,3,7,32.0,0,5,0.1613,0,17.43,1.8356,9,1,0.0,30,1,1
16493,11292,100190592202200006,Abdul Angadi,35.0,1.0,2022-12-13,32,4,7,3.0,0,5,0.1562,0,17.9,0.1676,9,1,1.0,31,1,1
19325,13273,100010122202200005,Abdul Angadi,32.0,1.0,2022-12-30,33,5,7,17.0,0,5,0.1515,0,17.44,0.9749,9,1,0.0,32,1,1
28050,19413,100040285202300003,Abdul Angadi,35.0,1.0,2023-01-04,34,6,8,5.0,0,5,0.1471,0,17.42,0.287,9,1,0.0,33,1,1
38178,26665,100020220202300010,Abdul Angadi,17.0,1.0,2023-01-12,35,5,9,8.0,0,5,0.1429,0,17.06,0.469,9,1,0.0,34,1,1
26667,18451,100010116202300001,Abdul Angadi,23.0,1.0,2023-01-26,36,6,10,14.0,0,5,0.1389,0,16.8,0.8333,9,1,0.0,35,1,1
29080,20150,100060365202300004,Abdul Angadi,,1.0,2023-02-05,37,7,9,10.0,0,5,0.1351,0,16.72,0.598,9,1,0.0,36,0,1
31891,22100,100070384202300006,Abdul Angadi,17.0,,2023-03-09,38,7,10,32.0,0,5,0.1316,0,16.54,1.9346,9,1,0.0,37,0,1
32788,22745,400020218202300001,Abdul Angadi,,,2023-04-15,39,3,9,37.0,0,5,0.1282,0,16.95,2.1832,9,1,0.0,38,1,1
29618,20514,100130520202300001,Abdul Angadi,28.0,1.0,2023-05-03,40,3,10,18.0,0,5,0.125,0,17.46,1.0308,9,1,0.3333,39,0,1
27003,18675,100270677202300003,Abdul Angadi,32.0,1.0,2023-06-19,41,2,8,47.0,0,5,0.122,0,17.48,2.6896,9,1,0.0,40,1,1
28637,19817,100290692202300004,Abdul Angadi,28.0,1.0,2023-07-08,42,3,7,19.0,1,5,0.119,1,18.2,1.0442,9,0,0.0,41,0,1
34827,24215,100140538202300010,Abdul Angadi,,1.0,2023-08-16,43,2,5,39.0,0,6,0.1395,0,18.21,2.1412,10,1,0.0,42,1,1
27195,18833,100150550202300001,Abdul Angadi,27.0,1.0,2023-08-26,44,3,6,10.0,0,6,0.1364,0,18.7,0.5348,10,1,0.0,43,0,1
33338,23166,100010142202300007,Abdul Angadi,38.0,1.0,2023-10-15,45,2,5,50.0,0,6,0.1333,0,18.5,2.7027,10,1,0.0,44,0,1
26706,18482,100040304202300001,Abdul Angadi,26.0,1.0,2023-11-24,46,2,5,40.0,0,6,0.1304,0,19.2,2.0833,10,0,0.0,45,1,1
32950,22864,100010099202300005,Abdul Angadi,29.0,1.0,2023-12-06,47,2,6,12.0,0,6,0.1277,0,19.65,0.6106,11,1,0.0,46,1,1
35787,24881,100120505202300007,Abdul Angadi,,1.0,2023-12-15,48,3,7,9.0,1,6,0.125,1,19.49,0.4618,11,1,0.0,47,0,1
48091,33793,100170567202400008,Abdul Angadi,29.0,1.0,2024-01-17,49,3,6,33.0,0,7,0.1429,0,19.27,1.7124,11,1,0.0,48,1,1
53125,37548,100260667202400007,Abdul Angadi,25.0,1.0,2024-01-18,50,4,7,1.0,0,7,0.14,0,19.55,0.0511,11,1,0.0,49,0,1
53276,37670,100070399202400006,Abdul Angadi,27.0,1.0,2024-03-24,51,2,6,66.0,1,7,0.1373,1,19.18,3.4411,11,1,0.0,50,0,1
50890,35963,100060365202400008,Abdul Angadi,22.0,1.0,2024-05-10,52,1,6,47.0,0,8,0.1538,0,20.1,2.3385,11,1,0.0,51,1,1
43404,30309,400010186202400001,Abdul Angadi,26.0,1.0,2024-05-13,53,2,7,3.0,0,8,0.1509,0,20.62,0.1455,11,1,0.0,51,1,1
53438,37802,100020227202400015,Abdul Angadi,28.0,1.0,2024-06-02,54,3,7,20.0,0,8,0.1481,0,20.28,0.986,11,1,1.0,52,1,1
53023,37481,100010169202400013,Abdul Angadi,,1.0,2024-06-09,55,4,7,7.0,0,8,0.1455,0,20.28,0.3452,11,1,0.0,53,1,1
54162,38336,800110488202400001,Abdul Angadi,,1.0,2024-06-18,56,5,7,9.0,0,8,0.1429,0,20.04,0.4492,11,1,1.0,54,0,1
49649,35013,100190595202400008,Abdul Angadi,15.0,1.0,2024-08-02,57,5,6,45.0,0,8,0.1404,0,19.84,2.2682,11,1,0.0,55,1,1
51559,36444,100010204202400012,Abdul Angadi,19.0,1.0,2024-08-26,58,4,7,24.0,1,8,0.1379,1,20.28,1.1834,11,1,0.0,56,1,1
43709,30510,100070393202400004,Abdul Angadi,28.0,1.0,2024-09-13,59,3,8,18.0,1,9,0.1525,1,20.34,0.8847,11,0,0.0,56,0,1
41950,29343,100140539202400006,Abdul Angadi,23.0,1.0,2024-10-21,60,3,8,38.0,0,10,0.1667,0,20.31,1.8715,12,1,0.0,57,0,1
52231,36912,100090432202400009,Abdul Angadi,,1.0,2024-12-27,61,1,4,67.0,0,10,0.1639,0,20.6,3.2524,12,1,1.0,58,1,1
56683,40262,100070399202500001,Abdul Angadi,29.0,1.0,2025-01-01,62,2,5,5.0,0,10,0.1613,0,21.36,0.2341,12,1,0.0,59,1,1
58039,41213,100330720202500004,Abdul Angadi,37.0,,2025-01-07,63,3,6,6.0,0,10,0.1587,0,21.1,0.2844,12,1,1.0,59,0,1
60143,42763,100070380202500004,Abdul Angadi,29.0,1.0,2025-02-27,64,3,5,51.0,0,10,0.1562,0,20.86,2.4452,12,1,0.0,60,0,1
63346,45219,100160561202500007,Abdul Angadi,,1.0,2025-05-05,65,1,4,67.0,0,10,0.1538,0,21.33,3.1414,12,1,0.0,61,1,1
55953,39731,100070385202500005,Abdul Angadi,29.0,1.0,2025-05-07,66,2,5,2.0,0,10,0.1515,0,22.03,0.0908,12,1,0.0,62,1,1
55954,39731,100070385202500005,Abdul Angadi,29.0,1.0,2025-05-07,67,3,6,0.0,0,10,0.1493,0,21.73,0.0,12,1,0.0,63,1,1
54763,38809,100020239202500001,Abdul Angadi,41.0,1.0,2025-05-15,68,4,7,8.0,0,10,0.1471,0,21.42,0.3735,12,1,1.0,63,1,1
55684,39513,100060360202500002,Abdul Angadi,19.0,,2025-06-14,69,4,8,30.0,0,10,0.1449,0,21.22,1.4137,12,1,0.0,64,1,1
65741,46940,100140530202500015,Abdul Angadi,17.0,1.0,2025-06-25,70,5,9,11.0,0,10,0.1429,0,21.35,0.5153,12,1,0.0,65,0,1
59051,41960,800070388202500001,Abdul Angadi,29.0,1.0,2025-07-30,71,6,7,35.0,1,10,0.1408,1,21.2,1.6509,12,1,0.0,66,1,1
59194,42067,400070392202500001,Abdul Angadi,29.0,1.0,2025-07-31,72,7,8,1.0,0,11,0.1528,0,21.39,0.0467,12,1,0.0,67,1,1
55539,39404,100070384202500001,Abdul Angadi,29.0,1.0,2025-08-03,73,8,9,3.0,0,11,0.1507,0,21.11,0.1421,12,1,0.0,68,1,1
55950,39728,100010138202500002,Abdul Angadi,35.0,1.0,2025-08-05,74,8,10,2.0,0,11,0.1486,0,20.86,0.0959,12,1,0.0,68,1,1
69647,49859,100020230202500013,Abdul Angadi,27.0,,2025-08-16,75,6,11,11.0,1,11,0.1467,1,20.61,0.5338,12,1,0.0,69,0,1
69100,49457,100150544202500007,Abdul Angadi,37.0,1.0,2025-10-26,76,5,11,71.0,1,12,0.1579,1,20.48,3.4668,12,1,0.0,70,0,1
59656,42413,100010177202500006,Abdul Angadi,22.0,1.0,2025-11-29,77,1,8,34.0,1,13,0.1688,1,21.14,1.608,12,1,0.0,71,0,1
67367,48150,100050340202500013,Abdul Angadi,27.0,1.0,2025-12-31,78,2,7,32.0,0,14,0.1795,0,21.31,1.5015,12,1,0.0,72,-1,0
1089,799,100060374202100003,Abdul Banakar,22.0,1.0,2021-01-12,0,0,0,365.0,0,0,0.0,0,365.0,1.0,0,0,0.0,0,0,1
12437,8392,100160555202100014,Abdul Banakar,24.0,1.0,2021-02-24,1,1,1,43.0,0,0,0.0,0,43.0,1.0,1,0,0.0,1,1,1
7205,4875,100310705202100004,Abdul Banakar,39.0,1.0,2021-03-14,2,2,2,18.0,0,0,0.0,0,43.0,0.4186,2,0,0.0,2,0,1
1480,1059,100320717202100004,Abdul Banakar,,1.0,2021-05-06,3,2,3,53.0,1,0,0.0,1,30.5,1.7377,3,1,0.0,3,0,1
4786,3233,100010197202100006,Abdul Banakar,,1.0,2021-06-10,4,2,4,35.0,0,1,0.25,0,38.0,0.9211,3,0,0.0,4,1,1
6658,4513,100010191202100006,Abdul Banakar,23.0,1.0,2021-06-15,5,2,5,5.0,0,1,0.2,0,37.25,0.1342,4,0,0.0,5,1,1
12041,8127,100160556202100009,Abdul Banakar,24.0,1.0,2021-06-19,6,3,6,4.0,0,1,0.1667,0,30.8,0.1299,5,1,0.0,6,1,1
12042,8127,100160556202100009,Abdul Banakar,24.0,1.0,2021-06-19,7,4,7,0.0,0,1,0.1429,0,26.33,0.0,5,1,0.0,7,1,1
3687,2476,100010186202100002,Abdul Banakar,23.0,1.0,2021-07-12,8,5,7,23.0,0,1,0.125,0,22.71,1.0126,5,0,0.0,7,0,1
8841,5950,100280683202100010,Abdul Banakar,,1.0,2021-08-21,9,5,8,40.0,0,1,0.1111,0,22.75,1.7582,6,1,0.0,8,1,1
3031,2073,400120509202100001,Abdul Banakar,,1.0,2021-08-27,10,6,8,6.0,0,1,0.1,0,24.67,0.2432,6,1,0.0,9,0,1
9125,6138,400210619202100001,Abdul Banakar,23.0,1.0,2021-12-05,11,0,7,100.0,0,1,0.0909,0,22.8,4.386,6,0,0.0,10,1,1
